"","Decade","TenYearReleaseRnd","TenYearDiffRnd"
"1","2010 to 2019",90.9,8.4
"2","2009 to 2018",90,7.5
"3","2008 to 2017",90.1,7.6
"4","2007 to 2016",89.3,6.8
"5","2006 to 2015",88.6,6.1
"6","2005 to 2014",87.9,5.4
"7","2004 to 2013",88.5,6
"8","2003 to 2012",88.5,6
"9","2002 to 2011",87.7,5.2
"10","2001 to 2010",82.9,0.4
"11","2000 to 2009",83.7,1.2
"12","1999 to 2008",87,4.5
"13","1998 to 2007",91.1,8.6
"14","1997 to 2006",97.3,14.8
"15","1996 to 2005",100.2,17.7
"16","1995 to 2004",101.5,19
"17","1994 to 2003",101.6,19.1
"18","1993 to 2002",101.5,19
"19","1992 to 2001",101.3,18.8
"20","1991 to 2000",101.3,18.8
"21","1990 to 1999",100.4,17.9
"22","1989 to 1998",97.1,14.6
"23","1988 to 1997",92,9.5
"24","1987 to 1996",90.4,7.9
"25","1986 to 1995",96.5,14
"26","1985 to 1994",105.4,22.9
"27","1984 to 1993",117.3,34.8
"28","1983 to 1992",127.5,45
"29","1982 to 1991",128,45.5
"30","1981 to 1990",127.9,45.4
"31","1980 to 1989",130.9,48.4
"32","1979 to 1988",131.1,48.6
"33","1978 to 1987",131.6,49.1
"34","1977 to 1986",126.7,44.2
"35","1976 to 1985",118,35.5
"36","1975 to 1984",108.8,26.3
"37","1974 to 1983",96.9,14.4
"38","1973 to 1982",88.6,6.1
"39","1972 to 1981",89.5,7
"40","1971 to 1980",90,7.5
"41","1970 to 1979",87.5,5
"42","1969 to 1978",88.1,5.6
"43","1968 to 1977",87.9,5.4
"44","1967 to 1976",87.8,5.3
"45","1966 to 1975",86.9,4.4
"46","1965 to 1974",88.8,6.3
"47","1964 to 1973",NA,NA
"48","1963 to 1972",NA,NA
"49","1962 to 1971",NA,NA
"50","1961 to 1970",NA,NA
"51","1960 to 1969",NA,NA
"52","1959 to 1968",NA,NA
"53","1958 to 1967",NA,NA
"54","1957 to 1966",NA,NA
"55","1956 to 1965",NA,NA
"56","1955 to 1964",NA,NA
